Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
M,0.455,0.365,0.095,WW2,MW1,0.101,0.15,Age3
M,0.35,0.265,0.09,WW1,MW1,0.0485,0.07,Age2
F,0.53,0.42,0.135,WW2,MW2,0.1415,0.21,Age2
M,0.44,0.365,0.125,WW2,MW1,0.114,0.155,Age2
I,0.33,0.255,0.08,WW1,MW1,0.0395,0.055,Age2
I,0.425,0.3,0.095,WW2,MW1,0.0775,0.12,Age2
F,0.53,0.415,0.15,WW3,MW2,0.1415,0.33,Age4
F,0.545,0.425,0.125,WW3,MW2,0.1495,0.26,Age3
M,0.475,0.37,0.125,WW2,MW1,0.1125,0.165,Age2
F,0.55,0.44,0.15,WW3,MW2,0.151,0.32,Age4
F,0.525,0.38,0.14,WW2,MW1,0.1475,0.21,Age3
M,0.43,0.35,0.11,WW2,MW1,0.081,0.135,Age2
M,0.49,0.38,0.135,WW2,MW1,0.095,0.19,Age2
F,0.535,0.405,0.145,WW2,MW2,0.171,0.205,Age2
F,0.47,0.355,0.1,WW2,MW1,0.0805,0.185,Age2
M,0.5,0.4,0.13,WW2,MW2,0.133,0.24,Age2
I,0.355,0.28,0.085,WW1,MW1,0.0395,0.115,Age2
F,0.44,0.34,0.1,WW2,MW1,0.087,0.13,Age2
M,0.365,0.295,0.08,WW1,MW1,0.043,0.1,Age2
M,0.45,0.32,0.1,WW2,MW1,0.075,0.115,Age2
M,0.355,0.28,0.095,WW1,MW1,0.062,0.075,Age2
I,0.38,0.275,0.1,WW1,MW1,0.049,0.085,Age2
F,0.565,0.44,0.155,WW3,MW2,0.214,0.27,Age2
F,0.55,0.415,0.135,WW3,MW2,0.21,0.2,Age2
F,0.615,0.48,0.165,WW3,MW3,0.301,0.305,Age2
F,0.56,0.44,0.14,WW3,MW2,0.188,0.3,Age2
F,0.58,0.45,0.185,WW3,MW2,0.272,0.285,Age2
M,0.59,0.445,0.14,WW3,MW2,0.234,0.28,Age2
M,0.605,0.475,0.18,WW3,MW2,0.219,0.295,Age3
M,0.575,0.425,0.14,WW3,MW2,0.227,0.2,Age2
M,0.58,0.47,0.165,WW3,MW2,0.242,0.33,Age2
F,0.68,0.56,0.165,WW4,MW3,0.2805,0.46,Age3
M,0.665,0.525,0.165,WW3,MW3,0.3575,0.35,Age4
F,0.68,0.55,0.175,WW4,MW4,0.3925,0.455,Age4
F,0.705,0.55,0.2,WW4,MW3,0.4115,0.49,Age3
M,0.465,0.355,0.105,WW2,MW1,0.124,0.125,Age2
F,0.54,0.475,0.155,WW3,MW3,0.3075,0.34,Age3
F,0.45,0.355,0.105,WW2,MW2,0.1165,0.145,Age2
F,0.575,0.445,0.135,WW3,MW2,0.2035,0.26,Age2
M,0.355,0.29,0.09,WW2,MW1,0.086,0.09,Age2
F,0.45,0.335,0.105,WW2,MW1,0.091,0.115,Age2
F,0.55,0.425,0.135,WW3,MW2,0.196,0.27,Age3
I,0.24,0.175,0.045,WW1,MW1,0.0235,0.02,Age2
I,0.205,0.15,0.055,WW1,MW1,0.015,0.012,Age2
I,0.21,0.15,0.05,WW1,MW1,0.0125,0.015,Age1
I,0.39,0.295,0.095,WW1,MW1,0.045,0.075,Age2
M,0.47,0.37,0.12,WW2,MW2,0.227,0.14,Age2
F,0.46,0.375,0.12,WW2,MW1,0.11,0.15,Age2
I,0.325,0.245,0.07,WW1,MW1,0.0255,0.045,Age2
F,0.525,0.425,0.16,WW3,MW2,0.2135,0.245,Age2
I,0.52,0.41,0.12,WW2,MW2,0.111,0.19,Age2
M,0.4,0.32,0.095,WW2,MW1,0.06,0.1,Age2
M,0.485,0.36,0.13,WW2,MW2,0.096,0.16,Age2
